Entity;Type;tvb:type;Superclass(es);tvb:mathematical_notation;is_CVAR_of;is_argument_of;is_VOI_of;surrogate;has_state_variable;is_derivative_of;has_argument;equals;depends_on;is_boolean_of;has_function;is_coefficient_of;regional_surrogate;is_parameter_of;is_state_variable_of;surrogate_of;has_derivative;has_parameter;contains;is_function_of;owl:topObjectProperty;is_a;has_range;has_default;identifier;publicMeSHNote;dc:description;tvb:sourcecode;tvb:dynamicalConfiguration;tvb:fullName;tvb:category;tvb:GO_ID;tvb:tuto;tvb:expression;tvb:wiki;tvb:acronym;tvb:unit;tvb:documentation;tvb:references;tvb:equation;tvb:dynamicsExploration;tvb:functionType;tvb:shortName;tvb:synonym;rdfs:label;skos:definition;
a_cKUR;Class;;Kuramoto Coupling Function;a_c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cHT;;;;;;;;;a_cKUR;"Provides a sigmoidal coupling function of the form

a∗(1+tanh((x−midpoint)/sigma))

NB: This coupling function is applied pre-summation. For a post-summation
sigmoidal, see `Sigmoidal`.";
a_LCF;Class;;Linear Coupling Function;a;;;;;;;;;;;;;;;;;;;;;;;;0.00390625;;;;;;;;;;;;;;;;;;;;;a_LCF;Linear scaling factor of the coupled (delayed) input.;
b_LCF;Class;;Linear Coupling Function;b;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;b_LCF;Shifts;
Gaussian kernel;Class;;Local Connectivity Kernel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(amp * exp(-((var-midpoint)**2 / (2.0 * sigma**2))))+offset;;;;;Gaussian kernel;Gaussian kernel;
Mexican-hat kernel;Class;;Local Connectivity Kernel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(amp_1 * exp(-((var-midpoint_1)**2 / (2.0 * sigma_1**2)))) - (amp_2 * exp(-((var-midpoint_2)**2 / (2.0 * sigma_2**2))));;;;double Gaussian distribution;Mexican-hat kernel;A Mexican-hat function approximated by the difference of Gaussians functions;
Sigmoid kernel;Class;;Local Connectivity Kernel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(amp / (1.0 + exp(-1.8137993642342178 * (radius-var)/sigma))) + offset;;;;;Sigmoid kernel;"A Sigmoid equation.
offset: parameter to extend the behaviour of this function when spatializing model parameters.";
Cortical Surface;Class;;Local Connectivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cortical Surface is a realistic folded human cortical surface represented by a two-dimensional surface embedded in three-dimensional space and discretely described by an ordered set of vertices, spanning triangles connected into a mesh.;;;;;;;;;;;;;;;;;Cortex;Cortical Surface;;
Local Coupling Function;Class;;Local Connectivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"src; lc";;;;;;;;Short-Range Coupling Function;Local Coupling Function;Local Coupling Function is;
Local Coupling Scaling;Class;;Local Connectivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Local Coupling Strength;Local Coupling Scaling;The Local Coupling Scaling is a factor that rescales the local connectivity strengths.;
Region Mapping;Class;;Local Connectivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RM;;;;;;;;;Region Mapping;Region Mapping is the matrix that specify how vertices of the cortical surface correspond to given parcellated brain regions in the long-range connectivity.;
Local Connectivity Kernel;Class;;Local Coupling Function;;;;;;;;;;;;;;;;;;;;Sigmoid kernel	Gaussian kernel	Mexican-hat kernel;;;;;;;;;;;;;;;;;;;;;;;;;;Local Connectivity Kernel;"Local Connectivity Kernel describes the exponential decay in the probability of local connectivity - typically spanning a few millimeters from a given vertex.

A connectivity kernel is used to capture how populations of given vertices on the cortical surface, a certain distance apart, affect one another.";
Model Parameters Catalogue;Class;;Local Neural Dynamics;;;;;;;;;;;;;;;;;;;;Time Constant	Timescale Hierarchy	State-Variable	Excitation	Input	Refractory Period	Transfer Sigmoid Function Properties	Nullcline Properties	Feedback Scaling	E/I Balance	Spiking Rate	Scaling Coefficient	Internal Coupling	Inhibition	Time Scaling;;;;;;;;Model Parameters Catalogue contains the significant number of parameters and variables governing the model dynamics and structure. They are classified by category.;;;;;;;;;;;;;;;;;;Model Parameters Catalogue;;
Models;Class;;Local Neural Dynamics;;;;;;;;;;;;;;;;;;;;Neural Mass Model	Neural Field Model;;;;;;;;;;;;;;;;;;;;"Beurle RL. (1959) Storage and manipulation of information in the brain. J Inst Electrical Engs [NS]; 5-50, p. 75–82. https://doi.org/10.1049/jiee-3.1959.0027";;;;;Neural Population Model;Models;"Models define the set of default mesoscopic neural models implemented in TVB.

These mesoscopic approximations to the underlying neural dynamics are often organized as cortical columns and describe the average activity of a neural ensemble (Beurle, 1959).

Note:
------
- Default parameter values in Models have been selected from the literature.";
Dynamical Parameter;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dynamical Parameter;Dynamical Parameter refers to the models parameter affecting its dynamics.;
E/I Balance;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;acetylcholine catabolic process	dopamine secretion	negative regulation of phospholipase C-activating dopamine receptor signaling pathway	regulation of acetylcholine secretion, neurotransmission	orexin secretion, neurotransmission	positive regulation of calcium ion-dependent exocytosis of neurotransmitter	glycine secretion, neurotransmission	acetylcholine catabolic process in synaptic cleft	dopamine biosynthetic process	negative regulation of ERBB3 signaling pathway	positive regulation of synaptic transmission, glycinergic	substance P secretion, neurotransmission	zinc potentiation of synaptic transmission, glycinergic	serotonin biosynthetic process	acetylcholine secretion, neurotransmission	epinephrine secretion, neurotransmission	serotonin uptake	negative regulation of synaptic transmission, glycinergic	serotonin secretion	negative regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway	serotonin catabolic process	positive regulation of synaptic transmission, cholinergic	negative regulation of adenosine receptor signaling pathway	regulation of synaptic signaling by nitric oxide	norepinephrine secretion, neurotransmission	negative regulation of dehydroepiandrosterone secretion	taurine metabolic process	L-dopa metabolic process	serotonin secretion, neurotransmission	regulation of synaptic transmission, cholinergic	regulation of synaptic transmission, glycinergic	regulation of substance P secretion, neurotransmission	regulation of synaptic transmission, dopaminergic	negative regulation of ERBB4 signaling pathway	acetylcholine metabolic process	positive regulation of synaptic transmission, dopaminergic	acetylcholine biosynthetic process	regulation of glycine secretion, neurotransmission	dopamine secretion, neurotransmission	negative regulation of synaptic transmission, cholinergic 	astrocyte-dopaminergic neuron signaling	taurine catabolic process	dopamine uptake involved in synaptic transmission;;;negative regulation of synaptic vesicle priming	negative regulation of spontaneous neurotransmitter secretion	modulation of chemical synaptic transmission	neurotransmitter receptor localization to postsynaptic specialization membrane	regulation of translation at postsynapse, modulating synaptic transmission	regulation of spontaneous neurotransmitter secretion	negative regulation of astrocyte activation	regulation of protein catabolic process at postsynapse, modulating synaptic transmission	synaptic vesicle targeting	regulation of synaptic activity	regulation of synapse structure or activity	regulation of modification of synapse structure, modulating synaptic transmission	regulation of long-term synaptic depression	regulation of receptor recycling	positive regulation of substance P secretion, neurotransmission	negative regulation of beta1-adrenergic receptor activity	regulation of neurotransmitter secretion	rhythmic synaptic transmission	desensitization of G protein-coupled receptor signaling pathway	negative regulation of glycine secretion, neurotransmission	regulation of mini excitatory postsynaptic potential	neurotransmitter receptor diffusion trapping	regulation of protein catabolic process at synapse, modulating synaptic transmission	amyloid-beta clearance by transcytosis	regulation of acetylcholine-gated cation channel activity	stabilization of membrane potential	regulation of synaptic transmission, GABAergic	regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	neurotransmitter receptor transport, endosome to postsynaptic membrane	regulation of protein catabolic process at presynapse, modulating synaptic transmission	negative regulation of cAMP-mediated signaling	modulation of excitatory postsynaptic potential	exocytic insertion of neurotransmitter receptor to postsynaptic membrane	sequestering of neurotransmitter	G protein-coupled acetylcholine receptor signaling pathway involved in positive regulation of acetylcholine secretion, neurotransmission	amyloid-beta clearance	negative regulation of synaptic vesicle lumen acidification	regulation of presynaptic membrane potential	neuron-glial cell signaling	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	negative regulation of substance P secretion, neurotransmission	negative regulation of calcium ion-dependent exocytosis of neurotransmitter	regulation of spontaneous synaptic transmission	negative regulation of synaptic vesicle fusion to presynaptic active zone membrane	regulation of glutamate secretion, neurotransmission	regulation of trans-synaptic signaling	synchronous neurotransmitter secretion	regulation of synaptic vesicle exocytosis	positive regulation of synaptic transmission	positive regulation of neurotransmitter secretion	regulation of translation at presynapse, modulating synaptic transmission	postsynaptic neurotransmitter receptor internalization	regulation of retrograde trans-synaptic signaling by neuropeptide	regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission	negative regulation of acetylcholine-gated cation channel activity	amyloid-beta clearance by cellular catabolic process	neurotransmitter biosynthetic process	regulation of presynaptic dense core granule exocytosis	spontaneous exocytosis of neurotransmitter	regulation of synaptic transmission, glutamatergic	asynchronous neurotransmitter secretion	regulation of calcium ion-dependent exocytosis of neurotransmitter	regulation of resting membrane potential	negative regulation of adenylate cyclase-activating glucose-activated G protein-coupled receptor signaling pathway	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	negative regulation of neurotransmitter secretion	induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration	positive regulation of glycine secretion, neurotransmission	regulation of translation at synapse, modulating synaptic transmission	regulation of postsynaptic neurotransmitter receptor diffusion trapping	negative regulation of hormone secretion	postsynaptic modulation of chemical synaptic transmission	regulation of synaptic scaling	negative regulation of synaptic transmission, dopaminergic	negative regulation of cell communication by chemical coupling	regulation of retrograde trans-synaptic signaling by neuropeptide	negative regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway	negative regulation of synaptic vesicle exocytosis	evoked neurotransmitter secretion	negative regulation of cGMP-mediated signaling	regulation of postsynaptic neurotransmitter receptor activity	negative regulation of acetylcholine secretion, neurotransmission	neurotransmitter secretion	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	negative regulation of cell communication by electrical coupling	presynaptic modulation of chemical synaptic transmission	positive regulation of spontaneous neurotransmitter secretion	positive regulation of synaptic vesicle exocytosis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E/I Balance;;
Feedback Scaling;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;negative regulation of retrograde trans-synaptic signaling by neuropeptide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feedback Scaling;;
Internal Coupling;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;negative regulation of ephrin receptor signaling pathway;;;regulation of short-term neuronal synaptic plasticity	positive regulation of synaptic metaplasticity	positive regulation of synaptic plasticity	positive regulation of synaptic plasticity by chemical substance	regulation of neuronal synaptic plasticity	regulation of long-term neuronal synaptic plasticity	negative regulation of nerve growth factor receptor activity	negative regulation of short-term neuronal synaptic plasticity	negative regulation of long-term neuronal synaptic plasticity	negative regulation of synaptic plasticity	positive regulation of long-term neuronal synaptic plasticity	regulation of synaptic plasticity by chemical substance	regulation of synaptic metaplasticity	negative regulation of epidermal growth factor receptor signaling pathway	regulation of synaptic plasticity	induction of synaptic plasticity by chemical substance	axon target recognition	negative regulation of brain-derived neurotrophic factor-activated receptor activity	positive regulation of short-term neuronal synaptic plasticity	negative regulation of synaptic metaplasticity	regulation of neuronal synaptic plasticity in response to neurotrophin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Internal Coupling;;
Nullcline Properties;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nullcline Properties;;
Refractory Period;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Refractory Period;;
Scaling Coefficient;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scaling Coefficient;;
Spiking Rate;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spiking Rate;;
Time Constant;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Constant;;
Time Scaling;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;non-myelinated axon ensheathment in central nervous system	central nervous system myelination	ensheathment of neuronal cell bodies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Scaling;;
Timescale Hierarchy;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Timescale Hierarchy;Timescale Hierarchy contains parameters that introduce a time scale separation between a low and fast;
Transfer Sigmoid Function Properties;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transfer Sigmoid Function Properties;;
Excitation;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;cannabinoid biosynthetic process;;;positive regulation of neuronal action potential	positive regulation of mini excitatory postsynaptic potential	action potential initiation	positive regulation of transmission of nerve impulse	positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization	neuronal action potential	evoked excitatory postsynaptic potential	long-term synaptic potentiation	negative regulation of GABA-A receptor activity	depolarization of postsynaptic membrane	positive regulation of synaptic transmission, glutamatergic	short-term synaptic potentiation ...	positive regulation of synaptic transmission, glutamatergic 	transmission of nerve impulse	mini excitatory postsynaptic potential	gamma-aminobutyric acid catabolic process	gamma-aminobutyric acid reuptake	negative regulation of synaptic transmission, GABAergic	rhythmic excitation	positive regulation of excitatory postsynaptic potential	glutamate secretion, neurotransmission	positive regulation of glutamate secretion, neurotransmission ...	negative regulation of membrane hyperpolarization	negative regulation of long-term synaptic depression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Excitation;;
Inhibition;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;cannabinoid biosynthetic process;;;negative regulation of glutamate secretion, neurotransmission	positive regulation of membrane hyperpolarization	hyperpolarization of postsynaptic membrane	glutamate reuptake	negative regulation of mini excitatory postsynaptic potential	gamma-aminobutyric acid secretion, neurotransmission	positive regulation of long-term synaptic depression	regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	negative regulation of excitatory postsynaptic potential	positive regulation of synaptic transmission, GABAergic	gamma-aminobutyric acid biosynthetic process	negative regulation of AMPA receptor activity	negative regulation of neuronal signal transduction	inhibitory postsynaptic potential	negative regulation of neuronal action potential	rhythmic inhibition	gamma-aminobutyric acid signaling pathway	extrasynaptic signaling via GABA	glutamate catabolic process to 4-hydroxybutyrate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Inhibition;;
Input;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;;
State-Variable;Class;parameter_type;Model Parameters Catalogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State-Variable;"A State-Variable is a scalar time-dependent variable denoting the current state of a dynamical system.

Note:
------
Sometimes, the state-variable is only conceptual, mathematical, and not physically realizable.";
Biological Model;Class;NMM_type;Neural Mass Model;;;;;;;;;;;;;;;;;;;;WilsonCowan	Zerlaut	Infinite Theta	Wong-Wang Deco	LarterBreakspear	JansenRit	Hopfield	ZetterbergJansen	Cakan-Obermayer;;;;;;;;;;;;;;;;;;;;"Beurle RL. (1956) Properties of a mass of cells capable of regenerating pulses. Phil Trans R Soc Lond B; 240, p.55-94. https://doi.org/10.1098/rstb.1956.0012";;;;;Physiological Model;Biological Model;Biological Model defines a model where all its parameters can be experimentally measured and correspond to physical quantities (Beurle, 1956).;
Phenomenological Model;Class;NMM_type;Neural Mass Model;;;;;;;;;;;;;;;;;;;;Epileptor	Generic2dOscillator	Stefanescu-Jirsa	LinearModel	SupHopf	Kuramoto;;;;;;;;;;;;;;;;;;;;;;;;;"Abstract Model; Canonical Model; Formal Mathematical Model; Generic Model";Phenomenological Model;Phenomenological Model defines a simplified, analytical mathematical model that can qualitatively reproduce the dynamics of certain physiological variables, but the connections between physiological measurements and the models parameters cannot be made directly.;
Additive Noise;Class;;Noise Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Additive Noise;;
Multiplicative Noise;Class;;Noise Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Multiplicative Noise;;
slope_E5D;Class;NMM_parameter;Nullcline Properties	Epileptor5D;slope;;;;;;;;;;;;x_1_E5D;;f_1_E5D;;;;;;;;;;0;;;;;;;Constant;;;;;;;;(Jirsa et al.,2014) Jirsa, VK, Stacey W C, Quilichini P P, Ivanov AI, Bernard C. On the nature of seizure dynamics. Brain, 2014, (137) 8, p: 2210–2230.;;;;Slope parameter;m;slope_E5D;Linear coefficient in the first state-variable x1_E5D via the coupling function f1(x1, x2)_E5D, in Epileptor5D (Jirsa et al.,2014).;
Epileptor;Class;NMM;Phenomenological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"For Epileptor 5D & Epileptor 2D.
(Jirsa et al.,2014) Jirsa, VK, Stacey WC, Quilichini P P, Ivanov A I, Bernard C. On the nature of seizure dynamics. Brain, 2014, (137) 8, p: 2210–2230.

(Proix et al., 2014) Proix T, Bartolomei F, Chauvel P, Bernard C, Jirsa VK. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.

For the Epileptor RS.
(Courtiol et al., 2020) Courtiol J, Guye M, Bartolomei F, Petkoski S, Jirsa VK. Dynamical mechanism of interictal resting-state functional connectivity in epilepsy. J Neurosci 2020, 40 (29) 5572-5588. https://doi.org/10.1523/JNEUROSCI.0905-19.2020

For the Epileptor Codim 3.
(Saggio et al., 2017) Saggio ML, Spiegler A, Bernard C, Jirsa VK. Fast–Slow Bursters in the Unfolding of a High Codimension Singularity and the Ultra-slow Transitions of Classes. J Math Neurosci. 2017;7:7. doi:10.1186/s13408-017-0050-8.";;;;;;Epileptor;Epileptor class contains the original Epileptor model (Epileptor 5D) and its derivatives: Epileptor 2D, Epileptor RS, and Epileptor Codim3.;
Generic2dOscillator;Class;NMM;Phenomenological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/oscillator.py;"excitable
multistable
...";Generic 2-Dimensional Oscillator;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Generic-2-Dimensional-Oscillator;G2D;;http://docs.thevirtualbrain.org/_modules/tvb/simulator/models/oscillator.html;"FitzHugh, R. *Impulses and physiological states in theoretical models of nerve membrane*, Biophysical Journal 1: 445, 1961.

Nagumo, J. et. al, *An Active Pulse Transmission Line Simulating Nerve Axon*, Proceedings of the IRE 50: 2061, 1962.";"The equations of the G2D read as follow:

For all node i,

Vdot_i = d_i * tau_i (-f_i V_i**3 + e_i V_i**2 + g_i V_i + alpha_i W_i + gamma_i (I_i + lrc_V + src_V ))
Wdot_i = d_i / tau_i (c_i V_i**2 + b_i V_i - beta_i W_i + a_i)";;;;;Generic2dOscillator;"The Generic 2-Dimensional Oscillator (G2D) is a phenomenological, coupled, nonlinear two-dimensional (i.e., two state-variables (V, W)) oscillatory, neural mass model.

The G2D is a generalization of the well-known FitzHugh-Nagumo model (FitzHugh, 1961; Nagumo et. al, 1962), adapted here for reproducing a wilder class of dynamical configurations of physiological phenomena as observed in neuronal population using phase-portrait method.

Note:
------
In TVB, the default parameter values are set to an excitable regime with an intrinsic oscillatory frequency of approximately 10 Hz, i.e., in the alpha-range.";
Kuramoto;Class;NMM;Phenomenological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/oscillator.py;;;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Kuramoto;KUR;;http://docs.thevirtualbrain.org/_modules/tvb/simulator/models/oscillator.html;"Y. Kuramoto, in: H. Arakai (Ed.), International Symposium
            on Mathematical Problems in Theoretical Physics, *Lecture Notes in
            Physics*, page 420, vol. 39, 1975.
S. H. Strogatz. *From Kuramoto to Crawford: exploring the
            onset of synchronization in populations of coupled oscillators*.
            Physica D, 143, 2000.
J. Cabral, E. Hugues, O. Sporns, G. Deco. *Role of local
            network oscillations in resting-state functional connectivity*.
            NeuroImage, 57, 1, 2011.";"Equation of the Kuramoto Model:

::math

\dot{\theta}_{k} = \omega_{k} + lrc,  + \sin(W_{\zeta}\theta)";;;;;Kuramoto;The Kuramoto model is a model of synchronization phenomena derived by Yoshiki Kuramoto in 1975 which has since been applied to diverse domains including the study of neuronal oscillations and synchronization.;
LinearModel;Class;NMM;Phenomenological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/oscillator.py;;;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Generic-Linear;GL;;https://docs.thevirtualbrain.org/api/tvb.simulator.models.html#module-tvb.simulator.models.linear;;"Equation of the Generic linear model:

::math

 \dot{x} &=& \gamma \, x + lrc + src";;;;;LinearModel;Generic Linear;
Stefanescu-Jirsa;Class;NMM;Phenomenological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stefanescu-Jirsa;;
SupHopf;Class;NMM;Phenomenological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/oscillator.py;;Supercritical Hopf;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Supercritical-Hopf;"SUPH; supHopf";;;"Kuznetsov, Y.A. *Elements of applied bifurcation theory.* Springer Sci & Business Media, 2013, vol. 112.

Deco, G., Kringelbach, M.L., Jirsa, V.K., Ritter, P. *The dynamics of resting fluctuations in the brain: metastability and its dynamical cortical core* Sci Reports, 2017, 7: 3095.";"The equations of the SUPH read as follows:

For all node i,

xdot_i = (a_i – x_i ** 2 – y_i ** 2) x_i – omega_i * y_i + lrc_x + src_x
ydot_i = (a_i – x_i ** 2 – y_i ** 2) y_i – omega_i * x_i + lrc_y";;;;;SupHopf;"Supercritical Hopf (SUPH) is an oscillatory/excitable neural mass model that describe the normal form of a supercritical Hopf bifurcation in Cartesian coordinates (Kuznetsov, 2013; Deco et al., 2017).

This normal form has a supercritical bifurcation at a=0 with a the bifurcation parameter in the model. So for a < 0, the local dynamics has a stable fixed point and the system corresponds to a damped oscillatory state, whereas for a > 0, the local dynamics enters in a stable limit cycle and the system switches to an oscillatory state.";
dynamic_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dynamic_cPreSIG;Use dynamic threshold (otherwise static);
G_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G_cPreSIG;Gain;
global_theta_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;global_theta_cPreSIG;Use global threshold (otherwise local);
H_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H_cPreSIG;Global Factor;
P_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P_cPreSIG;Excitation-Inhibition ratio;
Q_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Q_cPreSIG;Average;
theta_cPreSIG;Class;;Pre-Sigmoidal Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;theta_cPreSIG;Threshold;
I_E_RWW_EI;Class;NMM_parameter;ReducedWongWang_EI;I_E;;H_E_RWW_EI;;;S_I_RWW_EI	S_E_RWW_EI;;;;Global Connectivity;;;;;;;;;I_0_RWW_EI	wp_RWW_EI	I_ext_RWW_EI	J_NMDA_RWW_EI	W_E_RWW_EI	J_RWW_EI;;;;;;;;;;;;;Parameter;;;;;;nA;;(Deco et al., 2014) Deco G, Ponce-Alvarez A, Hagmann P, Romani GL, Mantini D, Corbetta M. How local excitation–inhibition ratio impacts the whole-brain dynamics. J Neurosci, 2014 34(23): 7886-7898.;"Expression of IE_RWW_EI.


I_{E,i} = W_{E}I_{0} + w_{+}J_{NMDA}S_{E,i} + J_{NMDA}[G\sum_{j}C_{ij}S_{E,i}] - J_{i}S_{I,i} + I_{ext}";;;;x_E;I_E_RWW_EI;Input current to the excitatory population (Deco et al., 2014).;
I_ext_RWW_EI;Class;NMM_parameter;ReducedWongWang_EI;I_ext;;;;;;;;;;;;;;I_E_RWW_EI;;;;;;;;;;0.0;;;;;;;Parameter;;;;;;;;Deco G, Ponce-Alvarez A, Hagmann P, Romani GL, Mantini D, Corbetta M. How local excitation–inhibition ratio impacts the whole-brain dynamics. J Neurosci, 2014 34(23): 7886-7898.;;;;;;I_ext_RWW_EI;"External stimulation parameter for evoked potential simulated activity applied to the excitatory population firing rate IE (Deco et al., 2014).

Note:
- Under resting-state condition, Iext = 0 (default value)
- Under task condition (e.g., evoked potentials), Iext = 0.02.";
I_I_RWW_EI;Class;NMM_parameter;ReducedWongWang_EI;I_I;;H_I_RWW_EI;;;S_E_RWW_EI	S_I_RWW_EI;;;;Global Connectivity;;;;;;;;;lambda_RWW_EI	I_0_RWW_EI	J_NMDA_RWW_EI	W_I_RWW_EI;;;;;;;;;;;;;Parameter;;;;;;nA;;(Deco et al., 2014) Deco G, Ponce-Alvarez A, Hagmann P, Romani GL, Mantini D, Corbetta M. How local excitation–inhibition ratio impacts the whole-brain dynamics. J Neurosci, 2014 34(23): 7886-7898.;"Expression of II_RWW_EI.

::math
I_{I,i} = W_{I}I_{0} + J_{NMDA}S_{E,i} - S_{I,i} + \lambda J_{NMDA}[G\sum_{j}C_{ij}S_{E,i}]";;;;x_I;I_I_RWW_EI;Input current to the inhibitory population (Deco et al., 2014).;
lambda_RWW_EI;Class;NMM_parameter;ReducedWongWang_EI;\lambda;;;;;;;;;;;;Global Connectivity;;I_I_RWW_EI;;;;;;;;;;;;;;;;;Parameter;;;;;;;;(Deco et al., 2014) Deco G, Ponce-Alvarez A, Hagmann P, Romani GL, Mantini D, Corbetta M. How local excitation–inhibition ratio impacts the whole-brain dynamics. J Neurosci, 2014 34(23): 7886-7898.;;;;;;lambda_RWW_EI;"The parameter lambda_RWW_EI indicates whether long-range feedforward inhibition (FFI) is considered (lamba = 1) or not (lambda = 0) (Deco et al., 2014).

Note:
- In the case of FFI, the proportion of excitatory–inhibitory long-range connections and excitatory–excitatory long-range connections is the same.";
